period,slot,sum,count,mean_lsi_5
test,179,-6882.408204560854,11590,-0.5938229684694438
test,180,-6994.719851559231,11590,-0.6035133607902702
test,181,-7833.232565654235,11590,-0.6758613085120134
test,182,-7710.574254973746,11590,-0.6652781928363888
test,183,-7972.3331852830515,11590,-0.6878630875999182
test,184,-9328.451309521428,11590,-0.8048706910717367
test,185,-10008.253524496664,11590,-0.8635248942620073
test,186,-10051.661719487665,11590,-0.8672702087564853
test,187,-10524.113796708956,11590,-0.9080339772829126
test,188,-10403.348555815108,11590,-0.8976141980858592
test,189,-9767.683580753861,11590,-0.8427682123169854
test,190,-9635.49351296471,11590,-0.8313626844663252
test,191,-8808.13746178825,11590,-0.7599773478678387
test,192,-8294.702590853141,11590,-0.7156775315662762
test,193,-8343.17022842912,11590,-0.7198593812277067
test,194,-8866.05375463349,11590,-0.7649744395714833
test,195,-8817.97163273407,11590,-0.7608258526949154
test,196,-9326.828163978062,11590,-0.8047306440015584
test,197,-9485.767177633314,11590,-0.8184441050589571
test,198,-9209.02814635309,11590,-0.7945667080546238
test,199,-8717.843933778024,11590,-0.7521867069696311
test,200,-8243.232870381224,11590,-0.7112366583590357
test,201,-7935.542150226244,11590,-0.68468871011443
test,202,-9180.592419768203,11590,-0.7921132372535119
test,203,-9404.007522391523,11590,-0.8113897776006491
test,204,-9806.531256583861,11590,-0.8461200393946385
test,205,-9480.81695597969,11590,-0.8180169936134332
test,206,-9292.427052627409,11590,-0.8017624721852812
test,207,-8982.264703336936,11590,-0.7750012686226865
test,208,-9270.51379961118,11590,-0.7998717687326299
test,209,-9240.104138155117,11590,-0.7972479843101913
test,210,-10441.490391972808,11590,-0.9009051244152552
test,211,-11209.498637502415,11590,-0.9671698565575854
test,212,-12389.0914788421,11590,-1.0689466332046678
test,213,-12377.513664172291,11590,-1.067947684570517
test,214,-12952.598029176012,11590,-1.1175666979444359
test,215,-12200.751150147838,11590,-1.0526963891413148
test,216,-11988.761879148793,11590,-1.034405684137083
test,217,-11511.533737967924,11590,-0.993229830713367
test,218,-11663.844563511124,11590,-1.0063714032365076
test,219,-11021.077286736987,11590,-0.95091262180647
test,220,-11137.023676625773,11590,-0.9609166243853126
test,221,-12386.080185010009,11590,-1.0686868149275244
test,222,-13079.297921290081,11590,-1.1284985264270992
test,223,-12290.495273678664,11590,-1.0604396267194705
test,224,-11834.30546806028,11590,-1.0210789877532598
test,225,-12533.710102058632,11590,-1.0814245126884066
test,226,-11929.53652561452,11590,-1.0292956450055668
test,227,-12564.056942238412,11590,-1.084042876810907
test,228,-14093.389410179876,11590,-1.2159956350457184
test,229,-15408.253741181925,11590,-1.329443808557543
test,230,-15690.694751961943,11590,-1.353813179634335
test,231,-15812.487244728114,11590,-1.364321591434695
test,232,-14459.230651828408,11590,-1.2475608845408461
test,233,-13728.855969887627,11590,-1.1845432243216245
test,234,-13153.253939280241,11590,-1.1348795460983814
test,235,-12370.421551421572,11590,-1.06733576802602
test,236,-12329.630457439049,11590,-1.0638162603484942
test,237,-11990.57153981768,11590,-1.0345618239704641
test,238,-12280.984486327967,11590,-1.0596190238419299
test,239,67419.05431239156,9706,6.946121400411246
test,240,123260.62092495529,11590,10.635083772644977
train,6,48949.01490895373,34693,1.4109190588578022
train,7,44908.13357562389,34693,1.294443650754443
train,8,43903.929998686006,34693,1.2654982272702275
train,9,42489.43010039761,34693,1.2247263165594675
train,10,40950.935451606114,34693,1.1803803491080653
train,11,40993.05410955204,34693,1.1815943881922013
train,12,41090.53308423932,34693,1.1844041473565077
train,13,40913.128976908716,34693,1.179290605508567
train,14,40958.80962622652,34693,1.1806073163527662
train,15,42928.48217424658,34693,1.2373816670292732
train,16,42953.818841350425,34693,1.2381119776713003
train,17,43705.67078523512,34693,1.2597835524525154
train,18,42620.939223222675,34693,1.228516969510353
train,19,41679.05857954796,34693,1.201367958364741
train,20,40952.55412329371,34693,1.1804270061192088
train,21,40381.07418130328,34693,1.163954520546026
train,22,39902.711429459814,34693,1.1501660689320559
train,23,40319.21680658963,34693,1.162171527587399
train,24,40490.15469481651,34693,1.1670986854644023
train,25,42467.019147414925,34693,1.2240803374575542
train,26,42503.84989011828,34693,1.2251419563058334
train,27,42762.06289928525,34693,1.2325847548290794
train,28,43221.82020729126,34693,1.2458369183204467
train,29,42883.082614934276,34693,1.2360730583960533
train,30,41287.8233076447,34693,1.190090891754668
train,31,40745.81473181322,34693,1.1744678964578796
train,32,39167.682369008086,34693,1.12897940129156
train,33,37860.22633558557,34693,1.0912929506120994
train,34,38432.608621747255,34693,1.1077914455869269
train,35,39078.31094458506,34693,1.126403336251839
train,36,39602.37214177338,34693,1.1415090116672926
train,37,41152.637083945076,34693,1.1861942490976587
train,38,41793.83974577604,34693,1.2046764403705656
train,39,42413.972440585974,34693,1.2225513054675576
