slot,LSI_5_mean,LSI_10_mean
223,0.5052408008689504,0.3387446752751514
224,0.5340807239270865,0.3428073919136153
225,0.53334684455934,0.34546647565000527
226,0.5695644378889575,0.34145635770920435
227,0.5500100308091558,0.3269966896238171
228,0.5496736944059927,0.3170076631472504
229,0.4948541916775504,0.31268069023347833
230,0.5156837336293969,0.32288957522133616
231,0.5248052289468088,0.3514763168886746
232,0.575719980584356,0.3640132356583096
233,0.5978656854936805,0.3669524858484931
234,0.6201500158611741,0.36757177378918293
235,0.642815394550412,0.3675928569933788
236,0.6696995762196962,0.38720599507892556
237,0.694515127465985,0.41171733482114886
238,0.668958267678097,0.40194789185270313
239,13.052479092229127,7.133446285406384
240,17.494398831305972,8.79665714002536
