slot,LSI_5_mean,LSI_5_q25,LSI_5_q50,LSI_5_q75
205,0.7220124940531008,-2.031307885465736,-0.3187921917638801,2.055333206574576
206,0.6830804762428775,-2.030784628233598,-0.3279924413329689,1.9670786543026435
207,0.8349299717655244,-2.028531618009116,-0.2721605002690022,2.0479317755306483
208,0.7638379007593724,-2.0460838396737815,-0.35540784842494955,1.9684905664971002
209,0.7768998994468962,-2.0783789952014065,-0.3056859217353731,1.9916368552411516
210,0.8835475911920858,-2.057422649810902,-0.2971050746203367,2.128984960109303
211,0.741436761894986,-2.0335478170885093,-0.254809474626158,2.2587304454730717
212,0.8256833407946974,-2.110137326664569,-0.3765637830267894,1.9680411109870468
213,0.5059332834033927,-2.144652275776192,-0.361876557094348,1.9306247022854515
214,0.48826862231663265,-2.120229785215266,-0.4059804621996652,1.9144154562058082
215,0.34923343082608155,-2.113140077631389,-0.43687436990745543,1.8187864447461481
216,0.5554847949796424,-2.1078508488681287,-0.364146690710817,2.0757713392540404
217,0.3394996056179524,-2.1209153818557707,-0.42642859535437005,1.795171679078459
218,0.5412590577921655,-2.0699119060864652,-0.3664998011148466,2.090290401316824
219,0.6397678980005304,-2.029764823670213,-0.3075918225165557,1.9611673390245752
220,0.6130159576643086,-2.0878888325893605,-0.4065182378165517,2.0009666135498394
221,0.43570803294119326,-2.168038299932239,-0.418721108027926,1.9926159184210108
222,0.42158024690158696,-2.20501824344257,-0.44723284243741107,1.9187695962475912
223,0.5483728864814978,-2.183548221020846,-0.5160682397146513,1.8189288689776646
224,0.6237736444453659,-2.174707795535287,-0.39345825581084104,2.02992204286782
225,0.41575335689786,-2.269146586599906,-0.40712918206757653,1.9732623011011041
226,0.7813266047527435,-2.1932604870501997,-0.3231478383786317,2.0838776952293605
227,0.5915169875119383,-2.2041730878264074,-0.41575822933734297,2.0254866790926185
228,0.7229151417077454,-2.2172467905471787,-0.39572728372565635,2.0062481810544424
229,0.516035728893731,-2.3049115749998546,-0.5263253501767347,1.9456372591001019
230,0.39289009016818294,-2.323874897762885,-0.5315040058853412,1.8083567814473442
231,0.5217469013222689,-2.235309038211419,-0.3899155854906498,2.0409399768622163
232,0.7299988946363798,-2.353944737529779,-0.4568630440769801,2.0912279676832606
233,0.4998439101313206,-2.278047220321831,-0.44521130301756384,1.9065067197206846
234,0.7517039145695752,-2.2272604815220127,-0.3967090129223883,2.035729900921555
235,0.7032425375009302,-2.2975901831898127,-0.4270176584206953,2.006163102117957
236,0.7741454458451562,-2.3892565120289984,-0.4824067543283571,2.0534229475600325
237,0.6702688714301969,-2.3306145124014956,-0.460730838721197,1.9722948404244887
238,0.69631266764039,-2.464582480717234,-0.5012577888775779,2.001150974966161
239,13.498084706071177,-1.7420134748632712,0.4222595936596566,5.197781787711044
240,16.415096074928194,-1.6250109872715293,0.487831180486476,5.601445330240051
