horizon,model,feature_group,recall,precision,event_rate
H5,Naive,P,0.07463094194253188,0.032917636168823344,0.02871772305677869
H5,Naive,P,0.07730454656528052,0.03324452466758566,0.02871772305677869
H5,Naive,P,0.08055311992410413,0.03379670114283991,0.02871772305677869
H5,Naive,P,0.08378731906452587,0.03431669796713745,0.02871772305677869
H5,Naive,P,0.08670528540010637,0.034685803661790415,0.02871772305677869
H5,Naive,P,0.09027009156377122,0.03529120866770068,0.02871772305677869
H5,Naive,P,0.09239747588724863,0.03532023385643325,0.02871772305677869
H5,Naive,P,0.09586166252210036,0.03584790040637296,0.02871772305677869
H5,Naive,P,0.09906711322571835,0.03625822675596193,0.02871772305677869
H5,Naive,P,0.10273253891819632,0.03681648422408242,0.02871772305677869
H5,Naive,P,0.10553551150656183,0.03704918529134224,0.02871772305677869
H5,Naive,P,0.10868346533657232,0.03739126564563109,0.02871772305677869
H5,Naive,P,0.11173079963776969,0.03768581097460462,0.02871772305677869
H5,Naive,P,0.11503686987020081,0.038054797386615435,0.02871772305677869
H5,Naive,P,0.11860167603386566,0.03849383706717177,0.02871772305677869
H5,Naive,P,0.1217783783006799,0.03879298502678694,0.02871772305677869
H5,Naive,P,0.12429386652100792,0.03887427787893093,0.02871772305677869
H5,Naive,P,0.1270537164541678,0.039027901041597673,0.02871772305677869
H5,Naive,P,0.1299716827897483,0.03922385184992387,0.02871772305677869
H5,Naive,P,0.13287527490692694,0.03940878299163991,0.02871772305677869
H5,Naive,P,0.13587948655291868,0.03961661609642432,0.02871772305677869
H5,Naive,P,0.13896994350932168,0.03984241065541343,0.02871772305677869
H5,Naive,P,0.1413704379824347,0.03986623429266315,0.02871772305677869
H5,Naive,P,0.1436846871451365,0.03986536068659669,0.02871772305677869
H5,Naive,P,0.1465882792623151,0.04002527581645989,0.02871772305677869
H5,Naive,P,0.15005246589716684,0.04033102425115808,0.02871772305677869
H5,Naive,P,0.1535022783136167,0.04062356158964078,0.02871772305677869
H5,Naive,P,0.15606088918915034,0.04067495626046658,0.02871772305677869
H5,Naive,P,0.15887823599591772,0.040791095561804804,0.02871772305677869
H5,Naive,P,0.16189682186031135,0.040954874368204795,0.02871772305677869
H5,Naive,P,0.1648291624142937,0.0410924050542189,0.02871772305677869
H5,Naive,P,0.1690408084060429,0.041540385308267806,0.02871772305677869
H5,Naive,P,0.176357285572597,0.04272783943888585,0.02871772305677869
H5,Naive,P,0.1836018916471417,0.04386528244736201,0.02871772305677869
H5,Naive,P,0.19076025241127514,0.04495124157016032,0.02871772305677869
H5,Naive,P,0.19753050927855798,0.045917480853793824,0.02871772305677869
H5,Naive,P,0.20412827552501833,0.04681854147435052,0.02871772305677869
H5,Naive,P,0.21063979646106742,0.04767637068752359,0.02871772305677869
H5,Naive,P,0.21922120484698646,0.04897433591943688,0.02871772305677869
H5,Naive,P,0.2262645718639049,0.04989966809635667,0.02871772305677869
H5,Naive,P,0.2313817936149722,0.050382319708792256,0.02871772305677869
H5,Naive,P,0.23809455360864754,0.051195984434739335,0.02871772305677869
H5,Naive,P,0.24536790811999598,0.05210861303173222,0.02871772305677869
H5,Naive,P,0.2526556368497463,0.05300183939933058,0.02871772305677869
H5,Naive,P,0.2587646796705429,0.05362941425311463,0.02871772305677869
H5,Naive,P,0.265506188101022,0.05437156700557521,0.02871772305677869
H5,Naive,P,0.27122712702496804,0.05488972021340346,0.02871772305677869
H5,Naive,P,0.2768618206385028,0.05537841389046224,0.02871772305677869
