task,horizon,period,feature_group,model,top_frac,hit_rate,lift
continuation,H5,validation,P,SMARTBoost,0.200000,0.363750,2.424394
continuation,H5,validation,M,Logit,0.010000,0.850000,5.665250
continuation,H5,validation,M,Logit,0.050000,0.835000,5.565275
continuation,H5,validation,M,Logit,0.100000,0.737500,4.915438
continuation,H5,validation,M,Logit,0.200000,0.565000,3.765725
continuation,H5,validation,M,LightGBM,0.010000,0.125000,0.833125
continuation,H5,validation,M,LightGBM,0.050000,0.205000,1.366325
continuation,H5,validation,M,LightGBM,0.100000,0.260000,1.732900
continuation,H5,validation,M,LightGBM,0.200000,0.363750,2.424394
continuation,H5,validation,M,SMARTBoost,0.010000,0.125000,0.833125
continuation,H5,validation,M,SMARTBoost,0.050000,0.205000,1.366325
continuation,H5,validation,M,SMARTBoost,0.100000,0.260000,1.732900
continuation,H5,validation,M,SMARTBoost,0.200000,0.363750,2.424394
continuation,H5,validation,C,Logit,0.010000,0.825000,5.498625
continuation,H5,validation,C,Logit,0.050000,0.810000,5.398650
continuation,H5,validation,C,Logit,0.100000,0.735000,4.898775
continuation,H5,validation,C,Logit,0.200000,0.548750,3.657419
continuation,H5,validation,C,LightGBM,0.010000,0.125000,0.833125
continuation,H5,validation,C,LightGBM,0.050000,0.205000,1.366325
continuation,H5,validation,C,LightGBM,0.100000,0.260000,1.732900
continuation,H5,validation,C,LightGBM,0.200000,0.363750,2.424394
continuation,H5,validation,C,SMARTBoost,0.010000,0.125000,0.833125
continuation,H5,validation,C,SMARTBoost,0.050000,0.205000,1.366325
continuation,H5,validation,C,SMARTBoost,0.100000,0.260000,1.732900
continuation,H5,validation,C,SMARTBoost,0.200000,0.363750,2.424394
continuation,H5,validation,ALL,Logit,0.010000,0.850000,5.665250
continuation,H5,validation,ALL,Logit,0.050000,0.830000,5.531950
continuation,H5,validation,ALL,Logit,0.100000,0.742500,4.948762
continuation,H5,validation,ALL,Logit,0.200000,0.555000,3.699075
continuation,H5,validation,ALL,LightGBM,0.010000,0.125000,0.833125
continuation,H5,validation,ALL,LightGBM,0.050000,0.205000,1.366325
continuation,H5,validation,ALL,LightGBM,0.100000,0.260000,1.732900
continuation,H5,validation,ALL,LightGBM,0.200000,0.363750,2.424394
continuation,H5,validation,ALL,SMARTBoost,0.010000,0.125000,0.833125
continuation,H5,validation,ALL,SMARTBoost,0.050000,0.205000,1.366325
continuation,H5,validation,ALL,SMARTBoost,0.100000,0.260000,1.732900
continuation,H5,validation,ALL,SMARTBoost,0.200000,0.363750,2.424394
continuation,H5,test,P,Naive,0.010000,0.825000,4.139492
