horizon,MarketLSI,CrossStress,IndexRet,IndexRV,MarketRelAmt,MarketLSI_baseline,MarketLSI_response,CrossStress_baseline,CrossStress_response,IndexRet_baseline,IndexRet_response,IndexRV_baseline,IndexRV_response,MarketRelAmt_baseline,MarketRelAmt_response,quantile,shock_size,scenario,scenario_cn,shock_definition
13,3.704183462769624,4.078927680499944,3.680455114863592,4.672455800555982,1.5906656719534777,6.127922980256507,-2.423739517486883,6.72159726169217,-2.6426695811922265,5.6234487058737095,-1.9429935910101177,7.557599267673546,-2.8851434671175644,3.9489605388475058,-2.358294866894028,0.95,1.5,composite_pressure,复合压力,IndexRet 下降、IndexRV 上升、MarketRelAmt 下降
14,4.226048351026527,4.60589517767814,4.022379673740357,5.298406034657339,1.9347691232891944,6.892051498409682,-2.6660031473831545,7.43254249539513,-2.82664731771699,6.089336360252224,-2.066956686511867,8.0,-2.701593965342661,4.369752622680674,-2.43498349939148,0.95,1.5,composite_pressure,复合压力,IndexRet 下降、IndexRV 上升、MarketRelAmt 下降
15,4.785096105870492,5.159771833271153,4.3838073318605115,5.984897757721086,2.293911679534737,7.7078985892000444,-2.9228024833295523,8.0,-2.8402281667288474,6.490398207970956,-2.1065908761104444,8.0,-2.015102242278914,4.829585971599075,-2.535674292064338,0.95,1.5,composite_pressure,复合压力,IndexRet 下降、IndexRV 上升、MarketRelAmt 下降
16,5.38080721728249,5.738707213075758,4.763790137017972,6.731906503263178,2.667460166388616,8.0,-2.6191927827175103,8.0,-2.2612927869242423,6.746249623402184,-1.9824594863842115,8.0,-1.2680934967368218,5.332217736632287,-2.6647575702436708,0.95,1.5,composite_pressure,复合压力,IndexRet 下降、IndexRV 上升、MarketRelAmt 下降
17,6.012296063354059,6.340511879467241,5.1611830729246355,7.538997282413789,3.054601617106521,8.0,-1.987703936645941,8.0,-1.6594881205327594,6.850924818672628,-1.6897417457479929,8.0,-0.4610027175862106,5.821278435219856,-2.766676818113335,0.95,1.5,composite_pressure,复合压力,IndexRet 下降、IndexRV 上升、MarketRelAmt 下降
18,6.678293048926084,6.962643144589671,5.57463237744137,8.0,3.4543334406936244,8.0,-1.3217069510739163,8.0,-1.0373568554103292,7.024487271070235,-1.4498548936288653,8.0,0.0,6.300817271506921,-2.846483830813297,0.95,1.5,composite_pressure,复合压力,IndexRet 下降、IndexRV 上升、MarketRelAmt 下降
19,7.388778689547506,7.641134515307252,5.9475125476597,8.0,3.884227562467888,8.0,-0.6112213104524944,8.0,-0.3588654846927479,7.200472582798821,-1.2529600351391208,8.0,0.0,6.77076738445347,-2.8865398219855822,0.95,1.5,composite_pressure,复合压力,IndexRet 下降、IndexRV 上升、MarketRelAmt 下降
20,8.0,8.0,6.282112795792496,8.0,4.370872541258553,8.0,0.0,8.0,0.0,7.37342105084849,-1.0913082550559947,8.0,0.0,7.23129954745384,-2.8604270061952874,0.95,1.5,composite_pressure,复合压力,IndexRet 下降、IndexRV 上升、MarketRelAmt 下降
0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.95,2.0,market_crash,市场急跌,IndexRet 下降
1,0.1873333455210133,0.3171691998043085,1.2634975892347489,0.2202214286032857,0.2066785980345685,0.2031887533791305,-0.015855407858117204,0.3176555729276313,-0.0004863731233227808,1.427108352009344,-0.16361076277459508,0.2220291139457275,-0.0018076853424418005,0.1995655097038575,0.007113088330711004,0.95,2.0,market_crash,市场急跌,IndexRet 下降
2,0.4442939186284083,0.671250723322673,1.7470123646994067,0.4998304669229229,0.4202061216516071,0.45898022058570553,-0.014686301957297254,0.6708836758948684,0.0003670474278045788,1.7538469589359567,-0.0068345942365499734,0.5000603681454047,-0.00022990122248178757,0.41243673639985645,0.007769385251750638,0.95,2.0,market_crash,市场急跌,IndexRet 下降
3,0.7454760405582099,1.0601995345381192,2.013038724627756,0.8355890412893359,0.6508423718076809,0.7577551917062715,-0.012279151148061551,1.058961663879415,0.0012378706587041766,2.0064933187722147,0.006545405855541198,0.8340569615864797,0.0015320797028561817,0.6429795392387768,0.007862832568904077,0.95,2.0,market_crash,市场急跌,IndexRet 下降
4,1.0894319536022536,1.4837916325362523,2.2805808018473597,1.2289961615164386,0.8997517329926912,1.0994013660114765,-0.009969412409222889,1.4817783178559862,0.0020133146802661095,2.2729052088802844,0.007675592967075318,1.2257905593253544,0.0032056021910842336,0.8918582181402512,0.007893514852439942,0.95,2.0,market_crash,市场急跌,IndexRet 下降
5,1.4766020058792944,1.9417583878726312,2.5684547475407236,1.6817889433978979,1.1672201730625453,1.4844627400622268,-0.007860734182932427,1.9390751268958937,0.002683260976737545,2.5607073433197165,0.007747404221007059,1.6770220195214687,0.0047669238764291855,1.1593192245148327,0.007900948547712616,0.95,2.0,market_crash,市场急跌,IndexRet 下降
6,1.9074092766365496,2.43360937181158,2.8782572333893004,2.1955301003331047,1.4533466978478256,1.9133626210241528,-0.005953344387603199,2.4303635536081867,0.0032458182033932026,2.870545795778088,0.00771143761121218,2.189317583478402,0.006212516854702699,1.4454614384004572,0.007885259447368398,0.95,2.0,market_crash,市场急跌,IndexRet 下降
7,2.3820752005110792,2.958599291704964,3.209974347914316,2.7715431825460635,1.7580921570602037,2.386315422959087,-0.004240222448007813,2.9548999662070368,0.003699325497927397,3.202330285896056,0.007644062018259845,2.764003566040493,0.007539616505570557,1.7502490073561119,0.007843149704091834,0.95,2.0,market_crash,市场急跌,IndexRet 下降
8,2.900581708760152,3.515707298250294,3.563302410432149,3.410876471537582,2.0812730710987157,2.9032968674836646,-0.0027151587235123564,3.511665563760378,0.00404173448991596,3.5557553371359116,0.007547073296237272,3.4021318386578367,0.00874463287974514,2.073502091024795,0.007770980073920519,0.95,2.0,market_crash,市场急跌,IndexRet 下降
