task,horizon,period,feature_group,model,top_frac,hit_rate,lift
continuation,H5,test,P,SMARTBoost,0.01,0.916799,16.847747
continuation,H5,test,P,SMARTBoost,0.05,0.653939,12.01725
continuation,H5,test,P,SMARTBoost,0.1,0.405247,7.447114
continuation,H5,test,P,SMARTBoost,0.2,0.23273,4.276811
continuation,H5,test,M,Logit,0.01,0.837337,15.387494
continuation,H5,test,M,Logit,0.05,0.630478,11.586114
continuation,H5,test,M,Logit,0.1,0.394514,7.249868
continuation,H5,test,M,Logit,0.2,0.227178,4.174787
continuation,H5,test,M,LightGBM,0.01,0.955133,17.552195
continuation,H5,test,M,LightGBM,0.05,0.652753,11.995457
continuation,H5,test,M,LightGBM,0.1,0.405232,7.446837
continuation,H5,test,M,LightGBM,0.2,0.233529,4.29149
continuation,H5,test,M,SMARTBoost,0.01,0.916799,16.847747
continuation,H5,test,M,SMARTBoost,0.05,0.65011,11.946875
continuation,H5,test,M,SMARTBoost,0.1,0.404262,7.429
continuation,H5,test,M,SMARTBoost,0.2,0.232798,4.27806
continuation,H5,test,C,Logit,0.01,0.844663,15.522137
continuation,H5,test,C,Logit,0.05,0.637065,11.707154
continuation,H5,test,C,Logit,0.1,0.396735,7.290678
continuation,H5,test,C,Logit,0.2,0.227443,4.179645
continuation,H5,test,C,LightGBM,0.01,0.950563,17.468216
continuation,H5,test,C,LightGBM,0.05,0.653841,12.015446
continuation,H5,test,C,LightGBM,0.1,0.405905,7.45919
continuation,H5,test,C,LightGBM,0.2,0.233585,4.292531
continuation,H5,test,C,SMARTBoost,0.01,0.916799,16.847747
continuation,H5,test,C,SMARTBoost,0.05,0.650472,11.953537
continuation,H5,test,C,SMARTBoost,0.1,0.404503,7.433442
continuation,H5,test,C,SMARTBoost,0.2,0.232101,4.265255
continuation,H5,test,ALL,Logit,0.01,0.873669,16.055157
continuation,H5,test,ALL,Logit,0.05,0.645064,11.854151
continuation,H5,test,ALL,Logit,0.1,0.40689,7.477305
continuation,H5,test,ALL,Logit,0.2,0.233546,4.291802
continuation,H5,test,ALL,LightGBM,0.01,0.956757,17.582038
continuation,H5,test,ALL,LightGBM,0.05,0.659967,12.128018
continuation,H5,test,ALL,LightGBM,0.1,0.417239,7.667472
continuation,H5,test,ALL,LightGBM,0.2,0.24277,4.461321
continuation,H5,test,ALL,SMARTBoost,0.01,0.920689,16.919233
continuation,H5,test,ALL,SMARTBoost,0.05,0.654528,12.028077
continuation,H5,test,ALL,SMARTBoost,0.1,0.413564,7.599942
continuation,H5,test,ALL,SMARTBoost,0.2,0.240672,4.422767
continuation,H10,validation,P,Naive,0.01,0.457827,8.679556
continuation,H10,validation,P,Naive,0.05,0.442658,8.391979
continuation,H10,validation,P,Naive,0.1,0.334658,6.344501
continuation,H10,validation,P,Naive,0.2,0.208221,3.947487
continuation,H10,validation,M,Naive,0.01,0.457827,8.679556
continuation,H10,validation,M,Naive,0.05,0.442658,8.391979
continuation,H10,validation,M,Naive,0.1,0.334658,6.344501
continuation,H10,validation,M,Naive,0.2,0.208221,3.947487
continuation,H10,validation,C,Naive,0.01,0.457827,8.679556
continuation,H10,validation,C,Naive,0.05,0.442658,8.391979
continuation,H10,validation,C,Naive,0.1,0.334658,6.344501
continuation,H10,validation,C,Naive,0.2,0.208221,3.947487
continuation,H10,validation,ALL,Naive,0.01,0.457827,8.679556
continuation,H10,validation,ALL,Naive,0.05,0.442658,8.391979
continuation,H10,validation,ALL,Naive,0.1,0.334658,6.344501
continuation,H10,validation,ALL,Naive,0.2,0.208221,3.947487
continuation,H10,validation,P,Logit,0.01,0.681831,12.926246
continuation,H10,validation,P,Logit,0.05,0.537756,10.194854
